src_name,n_transcripts,from_date,to_date
newham recorder,3799,2012-01-03 00:00:00,2014-10-27 00:00:00
newry democrat,926,2010-11-24 00:00:00,2014-07-08 00:00:00
news and star,3229,2011-12-27 00:00:00,2013-07-31 00:00:00
news guardian,1783,2012-01-02 10:51:00,2013-06-27 00:00:00
news post leader,4272,2010-01-04 10:46:00,2013-06-29 00:00:00
news shopper,5921,2011-12-27 08:22:00,2014-07-08 00:00:00
news wales,705,2010-11-23 00:00:00,2012-06-03 00:00:00
newsnet scotland,5266,2011-07-22 00:00:00,2014-12-10 00:00:00
north wales chronicle,1821,2010-01-18 00:00:00,2014-09-15 00:00:00
north-west evening mail,5649,2011-12-31 00:00:00,2015-02-03 00:00:00
northampton chronicle and echo,13018,2012-01-01 06:12:00,2015-02-04 00:00:00
northamptonshire evening telegraph,2059,2012-01-01 00:00:00,2012-05-30 00:00:00
northern ireland executive,5634,2012-01-11 00:00:00,2015-02-04 00:00:00
northumberland gazette,1781,2011-12-29 09:35:00,2013-08-04 00:00:00
norwich evening news 24,16705,2011-09-07 00:00:00,2015-02-04 00:00:00
nottingham post,23001,2012-01-01 00:00:00,2013-08-31 00:00:00
occupy birmingham [uk],20,2011-12-20 00:00:00,2012-06-09 00:00:00
occupy britain news blog,1,2012-01-08 00:00:00,2012-01-08 00:00:00
occupy edinburgh blog,24,2011-11-26 00:00:00,2012-11-29 00:00:00
occupy london news blog,30,2012-01-06 00:00:00,2012-02-24 00:00:00
occupy london on facebook,146,2012-01-01 00:00:00,2012-03-30 00:00:00
open democracy,1024,2011-01-28 00:00:00,2012-06-25 16:30:00
open unionism blogs,10,2012-01-10 00:00:00,2012-06-19 00:00:00
ormskirk and skelmersdale advertiser,4601,2012-01-03 07:27:00,2014-03-26 00:00:00
oxfam international,232,2011-12-22 00:00:00,2014-05-20 00:00:00
oxford mail,47233,2012-01-01 07:12:00,2015-02-04 00:00:00
paisley daily express,4608,2011-12-30 11:02:00,2012-12-18 02:48:00
penarth times,935,2010-05-07 00:00:00,2013-03-25 00:00:00
pendle today,881,2012-01-01 00:00:00,2012-07-03 00:00:00
permanent revolution blog,22,2012-01-08 00:00:00,2013-03-28 00:00:00
peterborough evening telegraph,10155,2011-12-30 08:28:00,2013-05-09 00:00:00
petersfield post,5331,2010-01-07 00:00:00,2014-01-24 00:00:00
pink news,4564,2012-01-03 00:00:00,2013-08-30 00:00:00
plymouth herald,3350,2012-06-07 00:00:00,2013-08-31 00:00:00
portadown times,820,2012-01-02 00:00:00,2012-07-04 00:00:00
pr newswire,4146,2011-12-30 08:05:00,2013-08-13 00:00:00
preston citizen,470,2010-02-26 00:00:00,2014-08-23 00:00:00
pulse - general practice news,382,2012-01-03 00:00:00,2012-09-17 00:00:00
reading post,7965,2012-01-03 00:00:00,2015-02-03 00:00:00
redhill and reigate life,2082,2012-01-01 21:45:00,2015-01-27 00:00:00
retford trader and guardian,3688,2012-01-01 00:00:00,2013-08-31 00:00:00
reuters alertnet,19103,2010-01-01 05:58:00,2012-10-19 00:00:00
richmond and twickenham times,3149,2011-12-31 00:00:00,2014-08-25 00:00:00
ripley and heanor news,2679,2011-12-30 08:43:00,2013-08-30 00:00:00
rochdale observer,503,2012-01-02 00:00:00,2013-01-19 00:00:00
romsey advertiser,908,2012-01-01 04:07:00,2014-08-22 00:00:00
royston crow,3899,2012-01-03 00:00:00,2015-02-03 00:00:00
rutland times,6112,2011-12-08 00:00:00,2013-08-26 00:00:00
rye and battle observer,1276,2011-12-30 13:13:00,2013-06-25 00:00:00
saffron walden reporter,2870,2011-12-27 00:00:00,2014-11-11 00:00:00
sale and altrincham messenger,3659,2012-01-01 20:01:00,2014-05-23 00:00:00
salford advertiser,352,2010-12-22 00:00:00,2012-06-15 00:00:00
scotsman,978,2013-02-19 00:00:00,2013-06-20 00:00:00
scottish republican socialist news,4,2012-01-08 00:00:00,2012-08-13 00:00:00
scottish socialist youth blog,14,2011-12-05 00:00:00,2012-06-15 00:00:00
